Title,Date,TotalResult,Id
Novela z.o ochraně zdr.před škodlivými účinky návyk.látek,,accepted,67789.0
Novela z.o ochraně zdr.před škodlivými účinky návyk.látek,,accepted,67788.0
Novela z. - vodní zákon - EU,,accepted,67787.0
Novela z. o střetu zájmů,,accepted,67786.0
Novela z. o střetu zájmů,,rejected,67785.0
Novela z. o podmínkách podnikání v oblasti cestovního ruchu - EU,,accepted,67784.0
Pořad schůze,,accepted,67783.0
Pořad schůze,,rejected,67782.0
Pořad schůze,,rejected,67781.0
Pořad schůze,,rejected,67780.0
Pořad schůze,,accepted,67779.0
Pořad schůze,,accepted,67778.0
Pořad schůze,,accepted,67777.0
"Vl.n.z. o znalcích, znaleckých kanc. a znaleckých ústavech - EU",,rejected,67776.0
"Vl.n.z. o znalcích, znaleckých kanc. a znaleckých ústavech - EU",,rejected,67775.0
"Vl.n.z. o znalcích, znaleckých kanc. a znaleckých ústavech - EU",,rejected,67774.0
Novela z. - trestní řád,,accepted,67773.0
N.z. o celostátním referendu,,accepted,67772.0
N.z. o celostátním referendu,,rejected,67771.0
N.z. o celostátním referendu,,accepted,67770.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67769.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67768.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67767.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67766.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,rejected,67765.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67764.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67763.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67762.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67761.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67760.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67759.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67758.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67757.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67756.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67755.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67754.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67753.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67752.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67751.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67750.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67749.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67748.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67747.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67746.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67745.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67744.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67743.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67742.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67741.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67740.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67739.0
Návrhy Poslanecké sněmovny na propůjčení nebo udělení státních vyzname,,accepted,67738.0
Novela z. o obcích,,accepted,67737.0
Pořad schůze,,rejected,67736.0
Pořad schůze,,accepted,67735.0
Pořad schůze,,accepted,67734.0
Projednání důsledků Marrákešského protokolu,,accepted,67733.0
Projednání důsledků Marrákešského protokolu,,accepted,67732.0
Projednání důsledků Marrákešského protokolu,,rejected,67731.0
Projednání důsledků Marakéšského protokolu,,rejected,67730.0
Pořad schůze,,accepted,67729.0
Pořad schůze,,accepted,67728.0
Pořad schůze,,accepted,67727.0
Novela z. o státní službě,,rejected,67726.0
Novela z. o státní službě,,rejected,67725.0
Novela z. o státní službě,,rejected,67724.0
Novela z. o státní službě,,rejected,67723.0
Novela z. o státní službě,,accepted,67722.0
Novela z. o státní službě,,rejected,67721.0
Novela z. o státní službě,,rejected,67720.0
Novela z. o státní službě,,rejected,67719.0
Novela z. o státní službě,,accepted,67718.0
Novela z. o organizaci a provádění sociálního zabezpečení,,accepted,67717.0
Novela z. o organizaci a provádění sociálního zabezpečení,,rejected,67716.0
Novela z. - daňový řád - EU,,accepted,67715.0
<br/>,,accepted,67714.0
Návrh na volbu člena Rady České televize,,accepted,67713.0
Návrh na volbu členů Rady Českého rozhlasu,,accepted,67712.0
Návrh na volbu členů DR SZIF,,accepted,67711.0
Návrh na volbu předsedy DR SZIF,,accepted,67710.0
Návrh na volbu člena Rady České tiskové kanceláře,,accepted,67709.0
Návrh na změny ve složení orgánů Poslanecké sněmovny,,accepted,67708.0
Novela z. - zákoník práce,,accepted,67707.0
Novela z. - zákoník práce,,accepted,67706.0
Novela z. - zákoník práce,,accepted,67705.0
Vl.n.z. v souv. s přij. zák. o distrib. pojiš. a zajiš.,,accepted,67704.0
Vl.n.z. v souv. s přij. zák. o distrib. pojiš. a zajiš.,,accepted,67703.0
Vl.n.z. v souv. s přij. zák. o distrib. pojiš. a zajiš.,,accepted,67702.0
Vl.n.z. o distribuci pojištění a zajištění - EU,,accepted,67701.0
Vl.n.z. o distribuci pojištění a zajištění - EU,,accepted,67700.0
Vl.n.z. o distribuci pojištění a zajištění - EU,,rejected,67699.0
Vl.n.z. o distribuci pojištění a zajištění - EU,,accepted,67698.0
Vl.n.z. o distribuci pojištění a zajištění - EU,,accepted,67697.0
Vl.n.z. o distribuci pojištění a zajištění - EU,,accepted,67696.0
Vl.n.z. o distribuci pojištění a zajištění - EU,,accepted,67695.0
Novela z. o ochraně ovzduší - EU,,accepted,67694.0
Novela z. o ochraně ovzduší - EU,,rejected,67693.0
Novela z. o ochraně ovzduší - EU,,rejected,67692.0
Novela z. o ochraně ovzduší - EU,,rejected,67691.0
Novela z. o ochraně ovzduší - EU,,accepted,67690.0
Novela z. o ochraně ovzduší - EU,,accepted,67689.0
Novela z. o ochraně ovzduší - EU,,accepted,67688.0
Novela z. o ochraně ovzduší - EU,,accepted,67687.0
Novela z. o ochraně ovzduší - EU,,accepted,67686.0
Pořad schůze,,rejected,67685.0
Pořad schůze,,accepted,67684.0
Pořad schůze,,accepted,67683.0
Novela z. - trestní zákoník - EU,,rejected,67682.0
Novela z. o mezinárodní justiční spolupráci ve věcech trest. - EU,,accepted,67681.0
Novela z. o obcích,,accepted,67680.0
Novela z. o ochranných známkách - EU,,accepted,67679.0
Novela z. o ochranných známkách - EU,,accepted,67678.0
Pořad schůze,,accepted,67677.0
Pořad schůze,,accepted,67676.0
Pořad schůze,,rejected,67675.0
Pořad schůze,,accepted,67674.0
Pořad schůze,,accepted,67673.0
Pořad schůze,,rejected,67672.0
Pořad schůze,,rejected,67671.0
Pořad schůze,,accepted,67670.0
Pořad schůze,,rejected,67669.0
Pořad schůze,,accepted,67668.0
Pořad schůze,,accepted,67667.0
Pořad schůze,,accepted,67666.0
Pořad schůze,,accepted,67665.0
Pořad schůze,,accepted,67664.0
Pořad schůze,,rejected,67663.0
Pořad schůze,,accepted,67662.0
Pořad schůze,,accepted,67661.0
<br/>,,accepted,67660.0
<br/>,,accepted,67659.0
"Vl.n.z, kterým se mění volební zákony a soudní řád správní",,accepted,67658.0
"Vl.n.z, kterým se mění volební zákony a soudní řád správní",,accepted,67657.0
"Vl.n.z, kterým se mění volební zákony a soudní řád správní",,accepted,67656.0
Novela z. o státní službě,,accepted,67655.0
<br/>,,rejected,67654.0
Novela z. o poskytování dávek osobám se zdravot. postižením,,accepted,67653.0
Novela z. o poskytování dávek osobám se zdravot. postižením,,accepted,67652.0
Novela z. o poskytování dávek osobám se zdravot. postižením,,rejected,67651.0
Novela z. o střetu zájmů,,accepted,67650.0
Novela z. o střetu zájmů,,accepted,67649.0
Novela z. o střetu zájmů,,rejected,67648.0
Novela z. o střetu zájmů,,rejected,67647.0
Novela z. o střetu zájmů,,accepted,67646.0
Novela z. o střetu zájmů,,accepted,67645.0
Novela z. o střetu zájmů,,accepted,67644.0
Vl. n. z. o podmínkách využív. gen. zdrojů podle Nagoj. prot. - EU,,accepted,67643.0
Vl. n. z. o podmínkách využív. gen. zdrojů podle Nagoj. prot. - EU,,accepted,67642.0
Vl. n. z. o podmínkách využív. gen. zdrojů podle Nagoj. prot. - EU,,accepted,67641.0
Pořad schůze,,accepted,67640.0
Novela z. o zrušení Fondu národního majetku,,rejected,67639.0
Novela z. o zrušení Fondu národního majetku,,accepted,67638.0
Novela z. o zrušení Fondu národního majetku,,rejected,67637.0
Novela z. o důchodovém pojištění,,accepted,67636.0
Novela z. o důchodovém pojištění,,accepted,67635.0
Novela z. o důchodovém pojištění,,accepted,67634.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,accepted,67633.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,accepted,67632.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,accepted,67631.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,accepted,67630.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,accepted,67629.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,accepted,67628.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,accepted,67627.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,rejected,67626.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,rejected,67625.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,rejected,67624.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,rejected,67623.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,rejected,67622.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,rejected,67621.0
N.z.o zrušení zákona o zákazu dodávek pro jader. el. Búšehr,,rejected,67620.0
Novela z. - školský zákon,,accepted,67619.0
Vl.n.z. o zpracování osobních údajů - související - EU,,accepted,67618.0
Vl.n.z. o zpracování osobních údajů - související - EU,,accepted,67617.0
Vl.n.z. o zpracování osobních údajů - související - EU,,accepted,67616.0
Vl.n.z. o zpracování osobních údajů - související - EU,,accepted,67615.0
Vl.n.z. o zpracování osobních údajů - související - EU,,accepted,67614.0
Vl.n.z. o zpracování osobních údajů - související - EU,,accepted,67613.0
Vl.n.z. o zpracování osobních údajů - EU,,accepted,67612.0
Vl.n.z. o zpracování osobních údajů - EU,,accepted,67611.0
Vl.n.z. o zpracování osobních údajů - EU,,accepted,67610.0
Vl.n.z. o zpracování osobních údajů - EU,,accepted,67609.0
Vl.n.z. o zpracování osobních údajů - EU,,accepted,67608.0
Vl.n.z. o zpracování osobních údajů - EU,,accepted,67607.0
Návrh na volbu členů DR Státního fondu dopravní infrastruktury,,accepted,67606.0
Návrh na volbu člena Dozorčí rady Státního fondu rozvoje bydlení,,accepted,67605.0
<br/>,,accepted,67604.0
<br/>,,accepted,67603.0
N.z. o celostátním referendu,,accepted,67602.0
Novela z. o státním zastupitelství,,accepted,67601.0
Novela z. o státním zastupitelství,,accepted,67600.0
Novela z. o důchodovém pojištění,,rejected,67999.0
Novela z. o důchodovém pojištění,,rejected,67998.0
Novela z. o důchodovém pojištění,,rejected,67997.0
Novela z. o důchodovém pojištění,,rejected,67996.0
Novela z. o důchodovém pojištění,,rejected,67995.0
Novela z. o důchodovém pojištění,,accepted,67994.0
Novela z. - školský zákon,,rejected,67993.0
Novela z. - školský zákon,,accepted,67992.0
Novela z. - školský zákon,,accepted,67991.0
Novela z. - školský zákon,,rejected,67990.0
Novela z. - školský zákon,,rejected,67989.0
Novela z. - školský zákon,,rejected,67988.0
Novela z. - školský zákon,,rejected,67987.0
Novela z. - školský zákon,,rejected,67986.0
Novela z. - školský zákon,,accepted,67985.0
Novela z. - školský zákon,,rejected,67984.0
Novela z. - školský zákon,,accepted,67983.0
Novela z. - školský zákon,,accepted,67982.0
Novela z. - školský zákon,,rejected,67981.0
Novela z. - školský zákon,,accepted,67980.0
Novela z. - školský zákon,,accepted,67979.0
Novela z. o provozu na pozemních komunikacích - EU,,accepted,67978.0
Novela z. o provozu na pozemních komunikacích - EU,,rejected,67977.0
Novela z. o provozu na pozemních komunikacích - EU,,rejected,67976.0
Novela z. o provozu na pozemních komunikacích - EU,,rejected,67975.0
Novela z. o provozu na pozemních komunikacích - EU,,accepted,67974.0
Novela z. o provozu na pozemních komunikacích - EU,,accepted,67973.0
Novela z. o provozu na pozemních komunikacích - EU,,rejected,67972.0
Novela z. o provozu na pozemních komunikacích - EU,,rejected,67971.0
Novela z. o provozu na pozemních komunikacích - EU,,rejected,67970.0
Novela z. o provozu na pozemních komunikacích - EU,,rejected,67969.0
Novela z. o provozu na pozemních komunikacích - EU,,accepted,67968.0
Novela z. o provozu na pozemních komunikacích - EU,,accepted,67967.0
Novela z. o provozu na pozemních komunikacích - EU,,accepted,67966.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67965.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67964.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67963.0
Novela z. o urychlení výstavby dopravní infrastruktury,,rejected,67962.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67961.0
Novela z. o urychlení výstavby dopravní infrastruktury,,rejected,67960.0
Novela z. o urychlení výstavby dopravní infrastruktury,,rejected,67959.0
Novela z. o urychlení výstavby dopravní infrastruktury,,rejected,67958.0
Novela z. o urychlení výstavby dopravní infrastruktury,,rejected,67957.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67956.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67955.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67954.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67953.0
Novela z. o urychlení výstavby dopravní infrastruktury,,accepted,67952.0
Pořad schůze,,accepted,67951.0
Pořad schůze,,accepted,67950.0
Návrh na volbu člena DR SFRB,,accepted,67949.0
Návrh na volbu člena DR SZIF,,accepted,67948.0
Návrh na volbu člena Dozorčí rady Vinařského fondu,,accepted,67947.0
Návrh na volbu člena Rady České televize,,accepted,67946.0
Návrh na volbu člena Rady Českého rozhlasu,,accepted,67945.0
Návrh na změny ve složení orgánů Poslanecké sněmovny,,accepted,67944.0
Návrh na změny ve složení orgánů Poslanecké sněmovny,,accepted,67943.0
Souhrnná zpráva o činnosti VOP za rok 2017,,accepted,67942.0
Pořad schůze,,accepted,67941.0
Písemná interpelace V. Munzara na A. Schillerovou,,rejected,67940.0
Novela z. o střetu zájmů,,accepted,67939.0
<br/>,,accepted,67938.0
Novela z. o střetu zájmů,,accepted,67937.0
Novela z. o střetu zájmů,,rejected,67936.0
Novela z. o vnitrozemské plavbě,,accepted,67935.0
Novela z. o vnitrozemské plavbě,,rejected,67934.0
Novela z. o volbách do zastupitelstev krajů,,accepted,67933.0
N.z. o zajištění právní pomoci,,accepted,67932.0
Novela z. o dani z přidané hodnoty,,accepted,67931.0
Novela z. o dani z přidané hodnoty,,rejected,67930.0
Novela z. o Rejstříku trestů - EU,,accepted,67929.0
N.z. - nominační zákon,,accepted,67928.0
Návrh ústavního zákona o referendu,,accepted,67927.0
Návrh ústavního zákona o referendu,,rejected,67926.0
N.z. o celostátním referendu,,accepted,67925.0
N.z. o celostátním referendu,,rejected,67924.0
N.z. o celostátním referendu,,rejected,67923.0
N.z. o celostátním referendu,,accepted,67922.0
N.z. o celostátním referendu,,rejected,67921.0
N.z. o celostátním referendu,,rejected,67920.0
Pořad schůze,,rejected,67919.0
Pořad schůze,,rejected,67918.0
Pořad schůze,,rejected,67917.0
Pořad schůze,,rejected,67916.0
Pořad schůze,,rejected,67915.0
Pořad schůze,,rejected,67914.0
Pořad schůze,,rejected,67913.0
Pořad schůze,,rejected,67912.0
Pořad schůze,,rejected,67911.0
<br/>,,rejected,67910.0
Novela z. o veřejném zdravotním pojištění,,accepted,67909.0
Novela z. o veřejném zdravotním pojištění,,accepted,67908.0
Novela z. - autorský zákon - EU,,accepted,67907.0
Novela z. o vysokých školách,,accepted,67906.0
Novela z. o vysokých školách,,accepted,67905.0
Novela z. o ochranných známkách - EU,,accepted,67904.0
Novela z. o pomoci v hmotné nouzi,,accepted,67903.0
Pořad schůze,,accepted,67902.0
Pořad schůze,,rejected,67901.0
Pořad schůze,,accepted,67900.0
Pořad schůze,,rejected,67899.0
Pořad schůze,,rejected,67898.0
Pořad schůze,,accepted,67897.0
<br/>,,accepted,67896.0
Pořad schůze,,rejected,67895.0
<br/>,,accepted,67894.0
<br/>,,accepted,67893.0
N.z. - nominační zákon,,accepted,67892.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67891.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67890.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67889.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67888.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67887.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,accepted,67886.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,accepted,67885.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67884.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67883.0
Návrh časového harmonogramu projednávání vládního návrhu státního závě,,accepted,67882.0
Novela z. - trestní zákoník - EU,,rejected,67881.0
N. z. o činnosti inst. zaměstnaneckého penzijního pojištění - EU,,accepted,67880.0
N. z. o činnosti inst. zaměstnaneckého penzijního pojištění - EU,,accepted,67879.0
N. z. o činnosti inst. zaměstnaneckého penzijního pojištění - EU,,accepted,67878.0
Novela z. o převodu vlastnického práva,,accepted,67877.0
Novela z. o převodu vlastnického práva,,accepted,67876.0
Novela z. o převodu vlastnického práva,,accepted,67875.0
Novela z. o převodu vlastnického práva,,accepted,67874.0
Novela z. o převodu vlastnického práva,,accepted,67873.0
Novela z. o převodu vlastnického práva,,accepted,67872.0
Novela z. o Kanceláři prezidenta republiky,,accepted,67871.0
Novela z. o evidenci tržeb,,accepted,67870.0
Novela z. - správní řád,,accepted,67869.0
Novela z. - správní řád,,accepted,67868.0
Novela z. - správní řád,,accepted,67867.0
Novela z. o daních z příjmů,,accepted,67866.0
Novela z. o daních z příjmů,,rejected,67865.0
Novela z. o daních z příjmů,,accepted,67864.0
Novela z. o daních z příjmů,,accepted,67863.0
Pořad schůze,,accepted,67862.0
Pořad schůze,,accepted,67861.0
Rámcová dohoda mezi EU a Austrálií,,rejected,67860.0
"Úml.Rady Evropy o komp.příst.k ochraně,bezp.při sport.akcích",,accepted,67859.0
Sml.mezi ČR a Vietnamem o předávání odsouzených osob,,accepted,67858.0
Sml.mezi ČR a vl.Rep.Kazachstán o spol.v boji proti tr.činn.,,accepted,67857.0
Dohoda mezi ČR a Japonskem o vízech k prac. dovolené,,accepted,67856.0
Dodatkový protokol k Trestněprávní úmluvě o korupci,,accepted,67855.0
Sml. mezi ČR a Vietnamem o spolupráci proti tr. činnosti,,accepted,67854.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67853.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67852.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67851.0
Pořad schůze,,accepted,67850.0
Pořad schůze,,accepted,67849.0
Pořad schůze,,accepted,67848.0
Pořad schůze,,accepted,67847.0
Pořad schůze,,accepted,67846.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67845.0
Vl.n.působ.sil MO ČR v zahr.operacích v letech 2018 až 2020,,accepted,67844.0
Vl.n.působ.sil MO ČR v zahr.operacích v letech 2018 až 2020,,rejected,67843.0
Vl.n.působ.sil MO ČR v zahr.operacích v letech 2018 až 2020,,rejected,67842.0
Vl.n.působ.sil MO ČR v zahr.operacích v letech 2018 až 2020,,rejected,67841.0
Vl.n.působ.sil MO ČR v zahr.operacích v letech 2018 až 2020,,rejected,67840.0
Novela z. o mezinárodní justiční spolupráci ve věcech trest. - EU,,accepted,67839.0
Novela z. o mezinárodní justiční spolupráci ve věcech trest. - EU,,accepted,67838.0
Novela z. o Ústavním soudu,,accepted,67837.0
Pořad schůze,,rejected,67836.0
Pořad schůze,,accepted,67835.0
Pořad schůze,,accepted,67834.0
Pořad schůze,,accepted,67833.0
Pořad schůze,,rejected,67832.0
Pořad schůze,,rejected,67831.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67830.0
"Sml.o stabilitě, koordinaci a správě v hosp. a měnové unii",,rejected,67829.0
Pořad schůze,,rejected,67828.0
Pořad schůze,,rejected,67827.0
Pořad schůze,,rejected,67826.0
Pořad schůze,,rejected,67825.0
Pořad schůze,,rejected,67824.0
Pořad schůze,,rejected,67823.0
Pořad schůze,,accepted,67822.0
Pořad schůze,,rejected,67821.0
N.z. o zálohovaném výživném,,accepted,67820.0
N.z. o zálohovaném výživném,,accepted,67819.0
N.z. o zálohovaném výživném,,rejected,67818.0
N.z. o náhradním výživném,,accepted,67817.0
N.z. o náhradním výživném,,accepted,67816.0
